City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Ewo,CG,2021-01-14 12:36:57,-0.8725,14.8206,85.59,54,81,7.85
255,Saint-Francois,FR,2021-01-14 12:36:57,46.4154,3.9054,46.4,81,90,12.66
256,Sao Gotardo,BR,2021-01-14 12:36:57,-19.3111,-46.0489,69.01,100,100,5.75
257,Henties Bay,NA,2021-01-14 12:36:57,-22.116,14.2845,70.77,73,37,15.5
258,Saint Anthony,US,2021-01-14 12:36:58,45.0205,-93.218,33.01,98,100,1.99
259,Ponta Do Sol,PT,2021-01-14 12:32:33,32.6667,-17.1,60.8,63,40,14.97
260,Boa Vista,BR,2021-01-14 12:36:58,2.8197,-60.6733,78.8,69,75,11.5
261,Sisimiut,GL,2021-01-14 12:34:10,66.9395,-53.6735,14.92,94,100,5.06
262,Larsnes,NO,2021-01-14 12:36:59,62.2028,5.5773,28.99,85,0,4.23
263,Stepnyak,KZ,2021-01-14 12:36:59,52.8339,70.7803,-12.08,83,0,4.27
264,Pochutla,MX,2021-01-14 12:32:08,15.7432,-96.4661,66.99,81,99,3.06
265,Quatre Cocos,MU,2021-01-14 12:32:49,-20.2078,57.7625,84.0,69,40,11.5
266,Agogo,GH,2021-01-14 12:37:00,6.8,-1.0819,98.8,23,34,2.39
267,Saskylakh,RU,2021-01-14 12:33:51,71.9167,114.0833,-46.61,75,46,6.71
268,Arraial Do Cabo,BR,2021-01-14 12:32:13,-22.9661,-42.0278,82.4,69,20,18.41
269,Bayshore Gardens,US,2021-01-14 12:37:00,27.4253,-82.5904,54.0,91,97,4.68
270,Buenos Aires,AR,2021-01-14 12:32:19,-34.6132,-58.3772,75.99,64,0,16.11
271,Semey,KZ,2021-01-14 12:33:23,50.4111,80.2275,-14.8,76,0,4.47
272,Yulara,AU,2021-01-14 12:32:23,-25.2406,130.9889,100.4,15,100,12.66
273,Onverwacht,SR,2021-01-14 12:37:01,5.5833,-55.1833,82.4,83,20,8.05
274,Asau,RO,2021-01-14 12:37:02,46.4333,26.4,36.0,43,100,5.21
275,Saint-Philippe,RE,2021-01-14 12:32:13,-21.3585,55.7679,86.0,70,75,12.66
276,Takoradi,GH,2021-01-14 12:37:02,4.8845,-1.7554,85.84,66,47,8.68
277,Abaran,ES,2021-01-14 12:37:02,38.2055,-1.3991,61.0,27,0,3.44
278,Montepuez,MZ,2021-01-14 12:37:03,-13.1256,38.9997,81.97,74,85,5.97
279,Vanderhoof,CA,2021-01-14 12:37:03,54.0166,-124.0198,18.77,94,50,1.45
