City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Zhanaozen,KZ,43.3,52.8,42.39,66,99,14.7,overcast clouds
323,Country Club,US,25.9482,-80.317,57.99,71,1,4.61,clear sky
324,Faanui,PF,-16.4833,-151.75,81.57,78,0,13.18,light rain
325,High Rock,BS,26.6208,-78.2833,64.4,59,75,11.5,broken clouds
326,College,US,64.8569,-147.8028,-0.4,71,75,4.47,broken clouds
327,Talnakh,RU,69.4865,88.3972,-24.03,67,0,7.05,clear sky
328,Tornio,FI,65.8481,24.1466,15.8,92,0,2.3,clear sky
329,Joanopolis,BR,-22.9303,-46.2756,71.6,78,0,9.22,clear sky
330,Pilar De La Horadada,ES,37.8659,-0.7926,45.0,87,0,8.05,clear sky
331,Sidmouth,GB,50.6909,-3.2397,39.99,84,45,1.99,scattered clouds
332,Juegang,CN,32.3174,121.1855,42.01,41,0,1.01,clear sky
333,Geraldton,AU,-28.7667,114.6,102.2,19,93,23.02,overcast clouds
334,Aldan,RU,58.6031,125.3894,-41.75,80,37,1.72,scattered clouds
335,Broome,US,42.2506,-75.833,32.0,86,90,11.5,overcast clouds
336,Etchojoa,MX,26.9167,-109.6333,59.0,61,0,4.09,clear sky
337,Udachnyy,RU,66.4167,112.4,-29.85,81,99,11.95,overcast clouds
338,Narsaq,GL,60.9167,-46.05,23.0,68,90,10.36,light snow
339,Aloleng,PH,16.1307,119.7824,82.09,69,22,14.27,few clouds
340,Mao,ES,39.8885,4.2658,51.8,82,0,9.22,clear sky
341,Aconibe,GQ,1.2968,10.9369,70.21,93,31,2.37,scattered clouds
342,Lai,TD,9.3952,16.2989,73.69,21,0,6.33,clear sky
343,Sarana,RU,56.4773,57.7259,14.67,94,100,11.45,light snow
344,Turukhansk,RU,65.8167,87.9833,-18.74,82,100,20.45,overcast clouds
