City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Vila Velha,BR,72.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
408,Vila Franca Do Campo,PT,61.0,light rain,37.7167,-25.4333,Pestana Bahia Praia
411,Ambulu,ID,85.05,light rain,-8.345,113.6058,Hotel Ambulu Jember
412,Pimentel,PE,70.39,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
413,Noumea,NC,84.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
419,Teseney,ER,78.73,clear sky,15.11,36.6575,Sabrin Hotel
420,Soyo,AO,78.8,broken clouds,-6.1349,12.3689,Hotel Mpampa
423,Conceicao Do Araguaia,BR,72.36,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
427,Neuquen,AR,57.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
428,Olinda,BR,77.0,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
430,Meulaboh,ID,88.07,overcast clouds,4.1363,96.1285,Kost Pria
432,Amahai,ID,83.23,light rain,-3.3333,128.9167,HOTEL ISABELA
435,Mpanda,TZ,74.91,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
437,Mangrol,IN,79.14,clear sky,21.1167,70.1167,Hotel The Royal Honours
438,Miri,MY,80.6,light rain,4.4148,114.0089,"Mega Hotel, Miri"
440,Ambon,ID,87.8,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
443,Matata,NZ,72.0,overcast clouds,-37.8833,176.75,paradise cabins
449,Puerto Escondido,MX,75.11,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
450,Ghatanji,IN,84.87,clear sky,20.1333,78.3167,गजानन माहराज मदील घाटजी
451,Caborca,MX,56.19,clear sky,30.5838,-111.101,Hotel Los Lagos
452,Dawlatabad,AF,53.29,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
459,Menongue,AO,67.33,clear sky,-14.6585,17.691,Ritz Lauca
460,Zhicheng,CN,50.77,clear sky,30.2956,111.5047,Wangjiang Building
461,Tezu,IN,80.28,clear sky,27.9167,96.1667,Circuit House
462,Atar,MR,59.09,overcast clouds,20.5169,-13.0499,Oumou Elghoura
463,Nambour,AU,81.0,light rain,-26.6333,152.95,Nambour Lodge Motel
465,Praia,CV,69.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
468,Bucerias,MX,67.46,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
469,Camacha,PT,59.0,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
470,Punta De Bombon,PE,68.65,overcast clouds,-17.1717,-71.7931,Hotel Bedregal
473,Copiapo,CL,57.2,clear sky,-27.3667,-70.3333,Antay Casino Hotel
475,Port Augusta,AU,80.01,clear sky,-32.5,137.7667,Majestic Oasis Apartments
476,Alofi,NU,80.6,overcast clouds,-19.0595,-169.9187,Taloa Heights
478,Manakara,MG,88.34,clear sky,-22.1333,48.0167,La Residence Manakara
479,Tessalit,ML,52.72,overcast clouds,20.1986,1.0114,
480,Pak Thong Chai,TH,88.0,few clouds,14.7226,102.0251,Mulberry House Korat
484,Hernani,ES,51.8,broken clouds,43.2662,-1.9762,Ibiltze
485,Grand Gaube,MU,84.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
486,Sulangan,PH,81.91,overcast clouds,11.1373,123.7228,Maia's Beach Resort
487,Male,MV,89.6,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
488,Honiara,SB,83.25,light rain,-9.4333,159.95,Heritage Park Hotel
489,Tashigang,BT,64.67,broken clouds,27.3331,91.5542,Lingkhar Lodge
492,Alyangula,AU,78.8,light rain,-13.8483,136.4192,Groote Eylandt Lodge
